obsid,video_id,year,n_rows,n_codeable_turns,n_teacher_turns,n_chars,shared_video_id,sha256
4096,829,3,456,456,219,37010,,3adbf36da3717048f5aab6d6b5a6dffb35b7b2dbf29336a408b7f4023337671c
4097,803,3,308,308,149,21398,,9266d2147ff9d74ddbb0b6999fd98f3df1ac70c70b6251952fa3d9616ea7d2e0
4098,806,3,83,83,40,12814,,b7871309b7a9dc1ddfb3a0513f91529e513daebc9e44a8eaeae235edab155b85
4099,805,3,269,269,132,33301,,4335ffcbc42983965b5627ad919c3601f6f70c580938d0c74955bcfd1163180c
4100,569,3,260,260,126,23498,,d1e66a653343aebd266425b42979db351c4d9dea267e9c31d4942c7f05df12dd
4101,516,3,380,380,189,32876,,f1293b9d448c308afe6509abb8725d6bea3b7c3d1d068025a8a5ebf866b39835
4102,565,3,294,294,146,25360,,d1284afde5a24a4c20e9adcbebc545823e2f720ba35c3c0553d9b647e3fc7982
4103,566,3,345,345,167,36064,,8266aaa5a03d689b08d405088429b619352b185ee399a80c943df156984e19bc
4104,518,3,222,222,136,25729,,3c05dd13bf18fc558c61b1beede77fd9e7b48779df6262b2c42987e83cdb5d2b
4105,563,3,65,65,40,15369,,1368358b12af6276dfec7cc04214df449b2bb375277f29bb369a13626fb8c4bb
4106,354,3,218,218,112,20320,,c0092e43682eabf57ccf32389f208fdbe8df17c6e60896fe49eaa1afe0efa124
4107,355,3,377,377,180,29709,,1fbcf84ee03d9d7277aa5e37861aa1d2669804e4d01e83290d44177ffdc467f4
4108,372,3,630,630,308,35528,,2008550db289c5b13f1754ef341aee7e873ebf238df75f0c3e9306cb159841b8
4109,371,3,146,146,72,13940,,f958164a64218232c54812927c7c9d094fda5ad7dc22117a694ecd1dc007aed0
4118,721,3,204,204,98,17947,,fb9515ab9309582915c8bde4d9556dc21c4acb7e33085baf5a7897dd6f8cd70c
4119,723,3,389,389,202,27015,,244dd6c9f06e8ce07b2220ca0d52e5e11853572f61eb96ec5afada87d03ef14a
